143009909,1432029668,2020-04-01,1,NT,P,18055,B,VESPA (DOUGLAS),UNCLASSIFIED,GREY,PE,125,1982-03-18,ERROR - Less than 14 OR UNCLASSIFIED
780000343,964839335,2020-04-01,4,NT,P,61909,SW,FORD,UNCLASSIFIED,BLACK,PE,5000,2011-12-31,ERROR - Less than 14 OR UNCLASSIFIED
699978109,918220949,2020-04-01,2,NT,P,14804,NP,YAMAHA,UNCLASSIFIED,RED,PE,1900,2009-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1290438137,21185738,2020-04-01,4,NT,P,84532,CT,FORD,UNCLASSIFIED,WHITE,DI,7200,1988-12-30,ERROR - Less than 14 OR UNCLASSIFIED
1764448273,85080284,2020-04-01,2,NT,P,23130,GU,HARLEY DAVIDSON,UNCLASSIFIED,BLACK,PE,1580,2008-01-01,ERROR - Less than 14 OR UNCLASSIFIED
123551529,1312756106,2020-04-01,2,NT,P,43140,LA,HONDA,UNCLASSIFIED,MULTI-COLOUR,PE,600,1996-12-30,ERROR - Less than 14 OR UNCLASSIFIED
388002181,1233727637,2020-04-01,4,NT,P,16419,DY,LAND ROVER,UNCLASSIFIED,GREEN,DI,0,1963-07-02,ERROR - Less than 14 OR UNCLASSIFIED
1499798647,1120924531,2020-04-01,4,RT,P,8638,DN,CATERHAM SUPER SEVEN,UNCLASSIFIED,WHITE,PE,1998,2016-03-24,ERROR - Less than 14 OR UNCLASSIFIED
1557824619,1098965974,2020-04-01,4,NT,F,147565,CB,NISSAN,UNCLASSIFIED,RED,PE,2000,2002-04-01,ERROR - Less than 14 OR UNCLASSIFIED
1479345397,25875866,2020-04-01,4,NT,P,117351,PE,VAUXHALL,UNCLASSIFIED,SILVER,DI,,2010-12-16,ERROR - Less than 14 OR UNCLASSIFIED
1607091881,692706296,2020-04-01,4,NT,P,169567,NR,MG,UNCLASSIFIED,BLACK,DI,1951,2005-03-18,ERROR - Less than 14 OR UNCLASSIFIED
1827550009,860098124,2020-04-01,2,NT,PRS,3936,CF,SUZUKI,UNCLASSIFIED,RED,PE,246,1980-02-01,ERROR - Less than 14 OR UNCLASSIFIED
1917126849,221586036,2020-04-01,4,NT,F,101325,NG,BMW,UNCLASSIFIED,BLUE,PE,1995,2003-01-01,ERROR - Less than 14 OR UNCLASSIFIED
649764757,438480366,2020-04-01,4,RT,P,144709,E,BMW,UNCLASSIFIED,BLUE,DI,,2006-09-04,ERROR - Less than 14 OR UNCLASSIFIED
184513331,1468442467,2020-04-01,4,NT,P,4206,TR,SUZUKI,UNCLASSIFIED,WHITE,PE,1586,2015-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1302530625,623794041,2020-04-01,2,NT,F,762,PE,KAWASAKI,UNCLASSIFIED,BLACK,PE,549,1981-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1973609809,1017768925,2020-04-01,2,NT,P,13415,NR,HONDA,"VT750 , Shadow",RED,PE,750,2007-03-29,ERROR - Conatins \"
1464564833,330095193,2020-04-01,1,NT,P,1542,BB,HONDA,UNCLASSIFIED,BLUE,PE,49,1980-09-26,ERROR - Less than 14 OR UNCLASSIFIED
70402347,298923935,2020-04-01,7,NT,F,29086,S,FIAT,UNCLASSIFIED,GREEN,DI,2287,2014-06-30,ERROR - Less than 14 OR UNCLASSIFIED
699628941,1071785487,2020-04-01,7,RT,P,87612,NG,IVECO,UNCLASSIFIED,WHITE,DI,2287,2014-03-25,ERROR - Less than 14 OR UNCLASSIFIED
421144841,668480108,2020-04-01,2,NT,P,54249,CH,SUZUKI,UNCLASSIFIED,RED,PE,996,2000-05-08,ERROR - Less than 14 OR UNCLASSIFIED
214521187,194866047,2020-04-01,4,NT,P,,CA,CATERHAM,UNCLASSIFIED,GREEN,PE,2298,2008-04-16,ERROR - Less than 14 OR UNCLASSIFIED
1422712243,1275976454,2020-04-01,1,RT,P,29533,RG,YAMAHA,UNCLASSIFIED,RED,PE,124,1997-11-05,ERROR - Less than 14 OR UNCLASSIFIED
1925735365,167588600,2020-04-01,4,RT,P,145118,BS,VOLKSWAGEN,UNCLASSIFIED,GREEN,PE,1600,1978-06-30,ERROR - Less than 14 OR UNCLASSIFIED
160974057,1036068266,2020-04-01,2,NT,P,34187,BH,HONDA,UNCLASSIFIED,BLACK,PE,496,1980-08-27,ERROR - Less than 14 OR UNCLASSIFIED
345004527,1050251855,2020-04-01,7,NT,PRS,244593,NN,MERCEDES,UNCLASSIFIED,WHITE,DI,2143,2015-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1176176959,184180967,2020-04-01,4,RT,P,270417,LL,RENAULT,UNCLASSIFIED,BLACK,DI,1995,2015-02-09,ERROR - Less than 14 OR UNCLASSIFIED
35765455,1045218531,2020-04-01,4,NT,P,14526,SE,VOLVO,UNCLASSIFIED,BLACK,PE,2000,2017-06-02,ERROR - Less than 14 OR UNCLASSIFIED
1905282115,891971830,2020-04-01,2,NT,P,63353,CH,HARLEY-DAVIDSON,UNCLASSIFIED,BLACK,PE,1450,2005-01-01,ERROR - Less than 14 OR UNCLASSIFIED
1886022709,174954562,2020-04-01,4,RT,P,227029,GL,MAZDA,UNCLASSIFIED,BLUE,DI,2490,1995-12-31,ERROR - Less than 14 OR UNCLASSIFIED
47062047,1390303083,2020-04-01,4,NT,F,5065,GU,MORRIS,UNCLASSIFIED,RED,PE,1798,1972-08-07,ERROR - Less than 14 OR UNCLASSIFIED
101604047,578153701,2020-04-01,4,RT,P,72840,NN,SMART FORTWO PASSION MHD AUTO,UNCLASSIFIED,BLACK,PE,999,2013-03-25,ERROR - Less than 14 OR UNCLASSIFIED
823891453,512892365,2020-04-01,4,NT,P,28028,NE,DUFFY E250 CDI,UNCLASSIFIED,SILVER,DI,2143,2015-06-01,ERROR - Less than 14 OR UNCLASSIFIED
1167617223,469605309,2020-04-01,4,NT,P,11698,BL,VOLVO,UNCLASSIFIED,BLACK,DI,1969,2017-01-02,ERROR - Less than 14 OR UNCLASSIFIED
498478999,477912941,2020-04-01,4,NT,P,36412,SE,LAND ROVER,UNCLASSIFIED,GREEN,DI,2993,2014-12-31,ERROR - Less than 14 OR UNCLASSIFIED
40443271,601990660,2020-04-01,4,NT,F,188860,NR,FORD,UNCLASSIFIED,WHITE,PE,5000,1994-12-31,ERROR - Less than 14 OR UNCLASSIFIED
531922047,1480573206,2020-04-01,4,NT,P,52797,WF,AIXAM,UNCLASSIFIED,TURQUOISE,DI,479,2001-11-23,ERROR - Less than 14 OR UNCLASSIFIED
725953851,780319624,2020-04-01,2,NT,P,37274,TR,KTM,UNCLASSIFIED,ORANGE,PE,942,2005-08-15,ERROR - Less than 14 OR UNCLASSIFIED
287774451,151579809,2020-04-01,4,NT,P,23184,DE,MERCEDES-BENZ,UNCLASSIFIED,SILVER,PE,1796,2015-04-01,ERROR - Less than 14 OR UNCLASSIFIED
1996052799,239115860,2020-04-01,4,NT,P,145272,WA,LAND ROVER,UNCLASSIFIED,SILVER,DI,2179,2007-07-09,ERROR - Less than 14 OR UNCLASSIFIED
438512067,1326483374,2020-04-01,2,NT,P,23259,NW,KAWASAKI,UNCLASSIFIED,GREEN,PE,636,2003-05-12,ERROR - Less than 14 OR UNCLASSIFIED
151269257,1226120419,2020-04-01,4,NT,P,24897,CW,CHAUSSON,UNCLASSIFIED,GREY,DI,1995,2017-04-19,ERROR - Less than 14 OR UNCLASSIFIED
741729285,1109681429,2020-04-01,4,NT,P,75240,N,VOLKSWAGEN,UNCLASSIFIED,BROWN,PE,1390,2013-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1127904567,876361042,2020-04-01,4,NT,P,50115,AB,MERCEDES,UNCLASSIFIED,BLUE,DI,2987,2012-04-07,ERROR - Less than 14 OR UNCLASSIFIED
1347765773,566144990,2020-04-01,4,NT,P,70424,BB,SUBARU,UNCLASSIFIED,WHITE,PE,1990,1993-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1368020049,861110505,2020-04-01,4,NT,P,8496,BD,SMART FORTWO PASSION MHD AUTO,UNCLASSIFIED,SILVER,PE,999,2012-09-20,ERROR - Less than 14 OR UNCLASSIFIED
1339206037,607723175,2020-04-01,4,NT,P,14154,CM,SMART FORTWO PURE 61 MHD AUTO,UNCLASSIFIED,WHITE,PE,999,2012-11-26,ERROR - Less than 14 OR UNCLASSIFIED
